asof,mm_net,or_net,oi,release,price_asof,price_entry,fwd_1w,fwd_2w,fwd_4w,mm_chg,mm_z_full,mm_z_roll52,mm_pct_rank,or_chg,or_z_full,or_z_roll52,or_pct_rank
2017-06-13,168627,190372,2176740,2017-06-16,46.41,44.73,-0.04180639391906993,0.02883970489604315,0.04024144869215296,-32963.0,-0.3541383490585849,-0.5837254107285038,0.42047531992687387,9493.0,0.6851304682021807,1.277658327090225,0.7349177330895795
2017-06-20,110749,218015,2118015,2017-06-23,43.34,42.86,0.07372841810545983,0.032431171255249636,0.06812879141390571,-57878.0,-0.8878571401533157,-1.2287641206213407,0.20658135283363802,27643.0,1.0717983090289205,2.2091914871539196,0.829981718464351
2017-06-27,105983,221205,2143111,2017-06-30,44.25,46.02,-0.03846153846153855,0.011082138200782188,0.08039982616253782,-4766.0,-0.9318065468079597,-1.2603349942436581,0.19744058500914077,3190.0,1.1164197470869208,2.1730333661198693,0.8427787934186471
2017-07-03,127968,213079,2172632,2017-07-06,46.02,45.52,0.011862917398945516,0.026581722319859225,0.07710896309314585,21985.0,-0.7290730794763716,-1.0018192642785557,0.2449725776965265,-8126.0,1.002753977287764,1.782250993598641,0.8117001828153565
2017-07-11,157255,200770,2133575,2017-07-14,45.06,46.53,-0.01611863313990969,0.0685579196217494,0.04900064474532573,29287.0,-0.4590046210847309,-0.6691833610692145,0.3656307129798903,-12309.0,0.8305767731949978,1.2973835356408563,0.7714808043875686
2017-07-18,209341,187118,2140060,2017-07-21,46.4,45.78,0.08606378331148967,0.08278724333770193,0.06138051550895596,52086.0,0.021303560831716604,-0.09260722768576787,0.5502742230347349,-13652.0,0.6396138038006971,0.799465829948408,0.7184643510054844
2017-07-25,236860,186478,2149971,2017-07-28,47.77,49.72,-0.003016894609814913,-0.018302493966210753,-0.04163314561544651,27519.0,0.275068504543246,0.19678178107797015,0.6343692870201096,-640.0,0.6306615403658632,0.7646488874400801,0.716636197440585
2017-08-01,289879,196886,2219691,2017-08-04,49.19,49.57,-0.015331853943917673,-0.01977002219084112,-0.04539035707080896,53019.0,0.763980294602535,0.7870781105929153,0.7568555758683729,10408.0,0.7762477244748496,1.1292314849505496,0.7623400365630713
2017-08-08,285264,195365,2215548,2017-08-11,49.07,48.81,-0.004507273099774611,-0.02376562179881181,-0.028068018848596665,-4615.0,0.721423326136068,0.7022834813916291,0.7495429616087751,-1521.0,0.7549721109055021,1.0616952387468577,0.7568555758683729
2017-08-15,269297,194176,2311603,2017-08-18,47.57,48.59,-0.01934554435068958,-0.026137065239761337,0.026960279892981998,-15967.0,0.5741845145425511,0.47826965155350193,0.7221206581352834,-1189.0,0.7383404839929747,0.9990203259431342,0.7495429616087751
2017-08-22,252295,193153,2236977,2017-08-25,47.65,47.65,-0.00692549842602308,-0.004407135362014758,0.05624344176285412,-17002.0,0.4174015074208017,0.2580371879655032,0.676416819012797,-1023.0,0.7240308504088574,0.927933906659902,0.7458866544789763
2017-08-29,138559,227306,2247058,2017-09-01,46.46,47.32,0.002535925612848544,0.05452240067624681,0.09192730346576505,-113736.0,-0.6314087559599354,-1.1359113062427995,0.29250457038391225,34153.0,1.2017599958617984,1.9627606323346887,0.8647166361974405
2017-09-05,169675,212438,2326586,2017-09-08,48.63,47.44,0.05185497470489042,0.06091905564924116,0.0400505902192243,31116.0,-0.3444742747459397,-0.7600826703432504,0.4259597806215722,-14868.0,0.9937877259413133,1.4139514812006726,0.8080438756855576
2017-09-12,154078,220402,2345125,2017-09-15,48.21,49.9,0.008617234468937918,0.03547094188376754,0.030661322645290534,-15597.0,-0.48830115170617533,-0.9465680877322258,0.3583180987202925,7964.0,1.1051874540585276,1.5936971134598585,0.8391224862888482
2017-09-19,208459,209615,2377488,2017-09-22,49.54,50.33,0.026624279753626245,-0.01967017683290273,0.02582952513411496,54381.0,0.013170246381570562,-0.29753371178718113,0.5429616087751371,-10787.0,0.9542998514467256,1.2019299467505002,0.7970749542961609
2017-09-26,261107,193001,2411223,2017-09-29,51.59,51.67,-0.04509386491194112,-0.004644861621830865,0.04354557770466427,52648.0,0.49866088036262357,0.34047911816683174,0.6983546617915904,-16614.0,0.7219046878430844,0.650109069195137,0.7440585009140768
2017-10-03,250173,194143,2471226,2017-10-06,50.44,49.34,0.042359140656667904,0.046412646939602675,0.12748277259829743,-10934.0,0.39783360122668615,0.1954154336822423,0.6745886654478976,1142.0,0.7378788829096161,0.6574346994610127,0.7477148080438757
2017-10-10,238624,178437,2437479,2017-10-13,50.93,51.43,0.003888780867198127,0.048415321796616784,0.10344157106747032,-11549.0,0.29133513344353806,0.053145012408883294,0.6380255941499086,-15706.0,0.5181847430541454,0.14490188202753132,0.6837294332723949
2017-10-17,222134,207391,2440472,2017-10-20,51.87,51.63,0.044354057718380746,0.07747433662599268,0.08870811543676149,-16490.0,0.13927350613865347,-0.14549493654225246,0.5941499085923218,28954.0,0.9231907360106778,1.0297940897771694,0.7897623400365631
2017-10-24,239964,206863,2371940,2017-10-27,52.32,53.92,0.031713649851632164,0.05248516320474783,0.09310089020771506,17830.0,0.30369186968298895,0.08166622184040029,0.6453382084095064,-528.0,0.9158051186769398,0.9768432835939442,0.7861060329067642
2017-10-31,295232,207717,2509878,2017-11-03,54.36,55.63,0.02013302175085374,0.010426029120977898,0.0488944813949308,55268.0,0.8133426894456549,0.7581786931159015,0.773308957952468,854.0,0.9277507951977964,0.9660533951507723,0.7925045703839122
2017-11-07,340269,204937,2601977,2017-11-10,57.19,56.75,-0.00951541850220261,0.03859030837004407,0.007048458149779613,45037.0,1.2286489058756178,1.2768403377088189,0.8555758683729433,-2780.0,0.8888644009027366,0.8441416697243402,0.7824497257769653
2017-11-14,372239,224227,2627570,2017-11-17,55.67,56.21,0.04856787048567868,0.03807151752357241,0.019213663049279406,31970.0,1.5234585010810249,1.6122763449161763,0.9195612431444241,19290.0,1.158691215993277,1.3963365933549008,0.8482632541133455
2017-11-21,339492,237586,2512147,2017-11-24,56.84,58.94,-0.01001017984390895,-0.030369867662029204,-0.011706820495419046,-32747.0,1.2214838431457273,1.1552077727046788,0.8537477148080439,13359.0,1.3455557272838177,1.751346849426853,0.8829981718464351
2017-11-28,398106,211727,2489012,2017-12-01,57.96,58.35,-0.020565552699228884,-0.018166238217652175,0.03616109682947721,58614.0,1.7619896177272012,1.796436604176417,0.9597806215722121,-25859.0,0.9838423207816774,0.9039114830923575,0.8062157221206582
2017-12-05,395080,216048,2554224,2017-12-08,57.66,57.15,0.00244969378827653,0.01924759405074372,0.07594050743657044,-3026.0,1.7340855252939338,1.6752585189867113,0.9561243144424132,4321.0,1.0442840868784233,1.0072151120773396,0.8226691042047533
2017-12-12,390146,224351,2571686,2017-12-15,57.12,57.29,0.016756851108395976,0.055332518764182215,0.1209635189387328,-4934.0,1.688586915886881,1.5525251830090152,0.9506398537477148,8303.0,1.1604257170337762,1.2296815207058964,0.850091407678245
2017-12-19,375625,226214,2456059,2017-12-22,57.49,58.25,0.03793991416309006,0.05562231759656666,0.08806866952789694,-14521.0,1.5546823136980252,1.339342076168854,0.9305301645338209,1863.0,1.186485196376113,1.2403551729658713,0.8592321755027422
2017-12-26,404238,227923,2460193,2017-12-29,59.55,60.46,0.017036056897122176,0.06218987760502803,0.0960965927886206,28613.0,1.8185355181901213,1.6013109111275283,0.9634369287020109,1709.0,1.2103905373294428,1.2444900597723028,0.8665447897623401
2018-01-02,389136,235077,2479798,2018-01-05,60.37,61.49,0.044397463002114224,0.030736705155309796,0.06521385591153028,-15102.0,1.6792732564825188,1.3824786588233304,0.9488117001828154,7154.0,1.3104600570369456,1.4129562014995458,0.8811700182815356
2018-01-09,432650,224940,2545313,2018-01-12,62.92,64.22,-0.013080037371535291,0.031921519775770735,-0.078168794767985,43514.0,2.0805352122463,1.7716295886206093,0.9817184643510055,-10137.0,1.1686645969761467,1.048663842321471,0.8537477148080439
2018-01-16,483829,223958,2611581,2018-01-19,63.82,63.38,0.04559798043546848,0.03344903755127793,-0.02350899337330392,51179.0,2.552479543588731,2.1922080724285165,1.0,-982.0,1.1549284677683234,0.996288283282762,0.8464351005484461
2018-01-23,478557,238138,2593128,2018-01-26,64.45,66.27,-0.01161913384638591,-0.10668477440772584,-0.04149690659423555,-5272.0,2.503864085786951,2.047675368876475,0.9963436928702011,14180.0,1.353277054496362,1.4634809973265697,0.886654478976234
2018-01-30,482780,251778,2643683,2018-02-02,64.64,65.5,-0.09618320610687014,-0.055114503816793836,-0.06580152671755723,4223.0,2.542806247831131,2.006063472851009,0.9981718464351006,13640.0,1.5440721689512595,1.9320889303900015,0.9177330895795247
2018-02-06,467783,271314,2589270,2018-02-09,63.48,59.2,0.04543918918918921,0.0729729729729729,0.047635135135135176,-14997.0,2.4045122378437838,1.792217065071674,0.9945155393053017,19536.0,1.8173400102995643,2.5671764551543736,0.9524680073126143
2018-02-13,448400,263861,2530604,2018-02-16,59.33,61.89,0.02633704960413641,-0.011310389400549403,0.006463079657456738,-19383.0,2.225772970284622,1.5761844099883267,0.9872029250457038,-7453.0,1.7130881050186002,2.266971566717397,0.9378427787934186
